"cl"	"cluster_id"	"cluster_id_label"	"supertype_id"	"supertype_label"	"supertype_id_label"	"subclass_id"	"subclass_label"	"subclass_id_label"	"class_label"	"class_id"	"class_id_label"	"anatomical_annotation"	"notes"	"CCF_broad.freq"	"CCF_acronym.freq"	"v3.size"	"v2.size"	"multiome.size"	"cluster.markers"	"merfish.markers"	"F"	"M"	"sex.bias"	"Dark"	"Light"	"nt_type_label"	"nt_type_combo_label"
414	302	"0302 CA3 Glut_2"	76	"CA3 Glut_2"	"0076 CA3 Glut_2"	17	"CA3 Glut"	"017 CA3 Glut"	"IT-ET Glut"	1	"01 IT-ET Glut"	"CA3 ve-most"	NA	"CTXsp:0.76,OLF:0.17"	"PA:0.76,COApm:0.17"	42	234	0	"Gm19757,Nox4,Gabrq"	"Dcn,Cd24a,Adcyap1,Ror1"	0.58	0.42	""	0.03	0.97	"Glut"	"Glut"
415	303	"0303 CA3 Glut_2"	76	"CA3 Glut_2"	"0076 CA3 Glut_2"	17	"CA3 Glut"	"017 CA3 Glut"	"IT-ET Glut"	1	"01 IT-ET Glut"	"CA3 ve-most"	NA	"HIP:0.47,NA:0.27,sAMY:0.18"	"CA3sp:0.26,HPF:0.21,CA3so:0.2,MEA:0.18"	61	103	0	"Gm19757,Cplx3"	"Dio3,Adcyap1,Cd24a,Grp,Rprm"	0.3	0.7	""	0.14	0.86	"Glut"	"Glut"
426	304	"0304 CA3 Glut_2"	76	"CA3 Glut_2"	"0076 CA3 Glut_2"	17	"CA3 Glut"	"017 CA3 Glut"	"IT-ET Glut"	1	"01 IT-ET Glut"	"CA3 ve"	NA	"HIP:0.68,NA:0.19"	"CA3so:0.47,alv:0.15,CA3sp:0.14,PA:0.13"	125	216	0	"Krt5,Vgll3,Gm34567"	"Osr1,St18,Igfbp6,Kcng1"	0.21	0.79	""	0.26	0.74	"Glut"	"Glut"
427	305	"0305 CA3 Glut_2"	76	"CA3 Glut_2"	"0076 CA3 Glut_2"	17	"CA3 Glut"	"017 CA3 Glut"	"IT-ET Glut"	1	"01 IT-ET Glut"	"CA3 ve"	NA	"HIP:0.73,CTXsp:0.16"	"CA3sp:0.37,CA3so:0.17,PA:0.16,CA3sr:0.1"	85	60	0	"Naa11,Lrp2,Pi15"	"Dio3,St18,Calb2,Scn7a"	0.28	0.72	""	0.31	0.69	"Glut"	"Glut"
436	306	"0306 CA3 Glut_2"	76	"CA3 Glut_2"	"0076 CA3 Glut_2"	17	"CA3 Glut"	"017 CA3 Glut"	"IT-ET Glut"	1	"01 IT-ET Glut"	"CA3 ve-most"	"CA3/CA1"	"CTXsp:0.77,NA:0.18"	"PA:0.77,HPF:0.07"	27	9	0	"Osr1,Gabrq,Slc9a4"	"Osr1,Gabrq,Hs3st2"	0.75	0.25	""	0.22	0.78	"Glut"	"Glut"
424	307	"0307 CA3 Glut_3"	77	"CA3 Glut_3"	"0077 CA3 Glut_3"	17	"CA3 Glut"	"017 CA3 Glut"	"IT-ET Glut"	1	"01 IT-ET Glut"	"CA3 ve"	NA	"HIP:0.9"	"CA3so:0.5,CA3sp:0.28,alv:0.1"	207	168	0	"Mndal,Kit,Rcn3,Smoc1,Bace2,Twist2"	"Osr1,Crym,Calb2,Tafa1,Emx2,Popdc3"	0.48	0.52	""	0.39	0.61	"Glut"	"Glut"
425	308	"0308 CA3 Glut_3"	77	"CA3 Glut_3"	"0077 CA3 Glut_3"	17	"CA3 Glut"	"017 CA3 Glut"	"IT-ET Glut"	1	"01 IT-ET Glut"	"CA3 ve-most"	NA	"NA:0.67,CTXsp:0.17"	"VL:0.28,chpl:0.19,PA:0.17,CA3so:0.14,alv:0.13"	123	43	0	"Slc9a4,5330429C05Rik,Vit,Col6a1,6530403H02Rik,Spink8"	"Frzb,Popdc3,Smoc2,Adamts2,Syt17,Trhde,Foxo1"	0.26	0.74	""	0.55	0.45	"Glut"	"Glut"
432	309	"0309 CA3 Glut_3"	77	"CA3 Glut_3"	"0077 CA3 Glut_3"	17	"CA3 Glut"	"017 CA3 Glut"	"IT-ET Glut"	1	"01 IT-ET Glut"	"CA3 ve"	NA	"HIP:0.93"	"CA3so:0.53,CA3sp:0.26,CA3slu:0.09"	227	19	0	"Iyd,Neurod6,Spink8,Oxtr,Gm34567"	"Osr1,Hs3st4,Vit,Oxtr,Drd5,Pou6f2,Hs3st2"	0.43	0.57	""	0.63	0.37	"Glut"	"Glut"
434	310	"0310 CA3 Glut_3"	77	"CA3 Glut_3"	"0077 CA3 Glut_3"	17	"CA3 Glut"	"017 CA3 Glut"	"IT-ET Glut"	1	"01 IT-ET Glut"	NA	NA	"HIP:0.86"	"CA3so:0.31,CA3sp:0.21,CA1so:0.11,CA3slu:0.08,alv:0.07,CA2sp:0.06"	34	4	0	"Gja3,B430212C06Rik,Shisal2b,Prss35"	"Frzb,Vit,Smoc2,Nptx2,Hs3st2"	0.47	0.53	""	0.61	0.39	"Glut"	"Glut"
416	311	"0311 CA3 Glut_3"	77	"CA3 Glut_3"	"0077 CA3 Glut_3"	17	"CA3 Glut"	"017 CA3 Glut"	"IT-ET Glut"	1	"01 IT-ET Glut"	"CA3 ve"	NA	"HIP:0.98"	"CA3sp:0.35,CA3sr:0.24,CA3slu:0.22"	41	36	0	"5330429C05Rik,Cmah,Gm26644"	"Dio3,Nhlh2,Popdc3"	0.31	0.69	""	0.43	0.57	"Glut"	"Glut"
423	312	"0312 CA3 Glut_3"	77	"CA3 Glut_3"	"0077 CA3 Glut_3"	17	"CA3 Glut"	"017 CA3 Glut"	"IT-ET Glut"	1	"01 IT-ET Glut"	"CA3 ve"	NA	"HIP:0.47,CTXsp:0.32,NA:0.21"	"PA:0.32,CA3so:0.27,alv:0.2,CA3sp:0.17"	31	106	0	"Gm19757,Rcn3"	"Osr1,Dio3,Frzb,Cd24a"	0.25	0.75	""	0.08	0.92	"Glut"	"Glut"
419	313	"0313 CA3 Glut_4"	78	"CA3 Glut_4"	"0078 CA3 Glut_4"	17	"CA3 Glut"	"017 CA3 Glut"	"IT-ET Glut"	1	"01 IT-ET Glut"	NA	NA	"HIP:0.96"	"CA3sp:0.29,CA3so:0.26,CA3slu:0.11,CA3sr:0.11,CA1so:0.07"	76	43	0	"Iyd,Gja3,Aldh1a3"	"Smoc2,Popdc3,Nptx2,Prlr,Npy2r,Fras1"	0.54	0.46	""	0.41	0.59	"Glut"	"Glut"
420	314	"0314 CA3 Glut_4"	78	"CA3 Glut_4"	"0078 CA3 Glut_4"	17	"CA3 Glut"	"017 CA3 Glut"	"IT-ET Glut"	1	"01 IT-ET Glut"	NA	NA	"HIP:0.96"	"CA3sp:0.37,CA3sr:0.2,CA3so:0.19,CA3slu:0.18"	640	169	0	"Mndal,Neurod6,Cldn22,Col12a1,Mas1"	"Smoc2,Popdc3,Ccbe1,Pou6f2,Sema5a,Ptk2b,Tmem215"	0.53	0.47	""	0.52	0.48	"Glut"	"Glut"
421	315	"0315 CA3 Glut_4"	78	"CA3 Glut_4"	"0078 CA3 Glut_4"	17	"CA3 Glut"	"017 CA3 Glut"	"IT-ET Glut"	1	"01 IT-ET Glut"	NA	"Mossy−Cyp26b1"	"HIP:0.98"	"CA3sr:0.21,CA3slu:0.15,CA3slm:0.14,CA3sp:0.13,DG-mo:0.09,DG-sg:0.08,DG-po:0.04"	755	464	0	"Mndal,Trhde,Mafa,Tafa1"	"Smoc2,Cyp26b1,Ccbe1,Scn4b,Tafa1,Rgs6"	0.36	0.64	""	0.31	0.69	"Glut"	"Glut"
417	316	"0316 CA3 Glut_5"	79	"CA3 Glut_5"	"0079 CA3 Glut_5"	17	"CA3 Glut"	"017 CA3 Glut"	"IT-ET Glut"	1	"01 IT-ET Glut"	"CA3 ve-most"	NA	"HIP:0.87"	"CA3sr:0.28,CA3sp:0.22,MEA:0.12,DG-po:0.1,CA3slu:0.1"	39	163	0	"Naa11,Adgrg6"	"Smoc2,Tgfbr2,Lpl,Fam163a"	0.22	0.78	""	0.14	0.86	"Glut"	"Glut"
418	317	"0317 CA3 Glut_5"	79	"CA3 Glut_5"	"0079 CA3 Glut_5"	17	"CA3 Glut"	"017 CA3 Glut"	"IT-ET Glut"	1	"01 IT-ET Glut"	"CA3 ve"	"Mossy cells"	"HIP:1"	"DG-sg:0.2,CA3sp:0.2,CA3sr:0.17,DG-po:0.14,CA3so:0.14"	74	42	0	"Csf2rb2,Smoc2"	"Smoc2,Moxd1,Drd2,Cyp26b1"	0.47	0.53	""	0.42	0.58	"Glut"	"Glut"
7	318	"0318 L2 IT PPP-APr Glut_1"	80	"L2 IT PPP-APr Glut_1"	"0080 L2 IT PPP-APr Glut_1"	18	"L2 IT PPP-APr Glut"	"018 L2 IT PPP-APr Glut"	"IT-ET Glut"	1	"01 IT-ET Glut"	"APr"	NA	"RHP:0.38,Isocortex:0.31,NA:0.31"	"APr:0.37,NA:0.31,RSPd1:0.14"	107	23	0	"Erg,Radx,Col12a1"	"Ctxn3,Car4,Lpl,Chn2"	0.69	0.31	""	0.35	0.65	"Glut"	"Glut"
8	319	"0319 L2 IT PPP-APr Glut_1"	80	"L2 IT PPP-APr Glut_1"	"0080 L2 IT PPP-APr Glut_1"	18	"L2 IT PPP-APr Glut"	"018 L2 IT PPP-APr Glut"	"IT-ET Glut"	1	"01 IT-ET Glut"	"APr"	NA	"RHP:0.73,Isocortex:0.24"	"APr:0.68,RSPd1:0.11,RSPd2/3:0.06"	115	44	0	"Erg,9630002D21Rik,Lgr6"	"Cd34,Lgr6,Glis3"	0.62	0.38	""	0.21	0.79	"Glut"	"Glut"
9	320	"0320 L2 IT PPP-APr Glut_1"	80	"L2 IT PPP-APr Glut_1"	"0080 L2 IT PPP-APr Glut_1"	18	"L2 IT PPP-APr Glut"	"018 L2 IT PPP-APr Glut"	"IT-ET Glut"	1	"01 IT-ET Glut"	"APr"	NA	"RHP:0.87"	"APr:0.81"	52	108	0	"Ntn5,Pde3a,Ctxn3"	"Ctxn3,Kcng1,Pde3a,Ccn3"	0.44	0.56	""	0.07	0.93	"Glut"	"Glut"
6	321	"0321 L2 IT PPP-APr Glut_1"	80	"L2 IT PPP-APr Glut_1"	"0080 L2 IT PPP-APr Glut_1"	18	"L2 IT PPP-APr Glut"	"018 L2 IT PPP-APr Glut"	"IT-ET Glut"	1	"01 IT-ET Glut"	"APr"	NA	"RHP:0.9"	"APr:0.53,POST:0.3"	157	178	0	"Teddm3,Col24a1,Ntf3"	"Ctxn3,Col24a1,Kcng1,Prlr"	0.6	0.4	""	0.14	0.86	"Glut"	"Glut"
3	322	"0322 L2 IT PPP-APr Glut_2"	81	"L2 IT PPP-APr Glut_2"	"0081 L2 IT PPP-APr Glut_2"	18	"L2 IT PPP-APr Glut"	"018 L2 IT PPP-APr Glut"	"IT-ET Glut"	1	"01 IT-ET Glut"	"POST"	NA	"RHP:0.96"	"POST:0.75,SUB:0.13"	85	204	0	"Teddm3,Ccdc80,Gm49906,Chst9,Trabd2b"	"Cd34,Ctxn3,Nts,Prkd1,Chst9"	0.54	0.46	""	0.08	0.92	"Glut"	"Glut"
4	323	"0323 L2 IT PPP-APr Glut_2"	81	"L2 IT PPP-APr Glut_2"	"0081 L2 IT PPP-APr Glut_2"	18	"L2 IT PPP-APr Glut"	"018 L2 IT PPP-APr Glut"	"IT-ET Glut"	1	"01 IT-ET Glut"	"PRE"	NA	"HIP:0.53,RHP:0.46"	"DG-mo:0.53,PRE:0.46"	324	627	0	"9630002D21Rik,Cxcl14,Clrn1,A830036E02Rik,Chrm2,Spock3"	"Chst9,Cxcl14,Nts,Otof,Spock3,Rxfp1"	0.36	0.64	""	0.1	0.9	"Glut"	"Glut"
11	324	"0324 L2 IT PPP-APr Glut_2"	81	"L2 IT PPP-APr Glut_2"	"0081 L2 IT PPP-APr Glut_2"	18	"L2 IT PPP-APr Glut"	"018 L2 IT PPP-APr Glut"	"IT-ET Glut"	1	"01 IT-ET Glut"	"POST-PRE"	NA	"RHP:0.86"	"POST:0.42,PRE:0.42"	176	657	0	"Teddm3,9630002D21Rik,Nts,Utrn,Adcyap1"	"Cd34,Cxcl14,Nts,Chst9,Adcyap1,Dchs2"	0.39	0.61	""	0.05	0.95	"Glut"	"Glut"
5	325	"0325 L2 IT PPP-APr Glut_2"	81	"L2 IT PPP-APr Glut_2"	"0081 L2 IT PPP-APr Glut_2"	18	"L2 IT PPP-APr Glut"	"018 L2 IT PPP-APr Glut"	"IT-ET Glut"	1	"01 IT-ET Glut"	"PRE"	NA	"RHP:0.83"	"PRE:0.68,DG-mo:0.15"	117	236	0	"Ntn5,Esm1,Clrn1,Prlr,Teddm3"	"Ctxn3,Chst9,Lamp5,Col23a1,Grik3,Fosl2"	0.42	0.58	""	0.07	0.93	"Glut"	"Glut"
1	326	"0326 L2 IT PPP-APr Glut_3"	82	"L2 IT PPP-APr Glut_3"	"0082 L2 IT PPP-APr Glut_3"	18	"L2 IT PPP-APr Glut"	"018 L2 IT PPP-APr Glut"	"IT-ET Glut"	1	"01 IT-ET Glut"	"POST-PRE"	NA	"RHP:0.72,HIP:0.14"	"POST:0.34,PRE:0.34,DG-mo:0.14"	200	527	0	"Teddm3,Smoc2,Gm49906,Pcdh17"	"Rxfp1,Glis3,Galr1,Bmp3"	0.4	0.6	""	0.09	0.91	"Glut"	"Glut"
2	327	"0327 L2 IT PPP-APr Glut_3"	82	"L2 IT PPP-APr Glut_3"	"0082 L2 IT PPP-APr Glut_3"	18	"L2 IT PPP-APr Glut"	"018 L2 IT PPP-APr Glut"	"IT-ET Glut"	1	"01 IT-ET Glut"	"PRE"	NA	"HIP:0.83"	"DG-mo:0.83"	235	264	0	"Gm6260,Cplx3,Unc5d,Cntnap3"	"Rxfp1,Glis3,Galr1,Prlr,Cntnap3"	0.33	0.67	""	0.13	0.87	"Glut"	"Glut"
10	328	"0328 L2 IT PPP-APr Glut_4"	83	"L2 IT PPP-APr Glut_4"	"0083 L2 IT PPP-APr Glut_4"	18	"L2 IT PPP-APr Glut"	"018 L2 IT PPP-APr Glut"	"IT-ET Glut"	1	"01 IT-ET Glut"	"POST"	NA	"RHP:0.82"	"POST:0.67,APr:0.12,RSPv2/3:0.08"	257	483	0	"Teddm3,9630002D21Rik,Col24a1,Gm2694"	"Ctxn3,Col24a1,Cxcl14,Ccbe1,Cbln2"	0.55	0.45	""	0.09	0.91	"Glut"	"Glut"
301	329	"0329 L2/3 IT PPP Glut_1"	84	"L2/3 IT PPP Glut_1"	"0084 L2/3 IT PPP Glut_1"	19	"L2/3 IT PPP Glut"	"019 L2/3 IT PPP Glut"	"IT-ET Glut"	1	"01 IT-ET Glut"	"PAR-ENTl"	NA	"RHP:0.94"	"PAR:0.21,ENTm2:0.16,ENTm1:0.14,ENTl2:0.13,ENTm3:0.13,HATA:0.06"	93	412	0	"Cfap58,C1qtnf7,Gm48530"	"Rspo2,Hmcn1,Egr2,Tll1"	0.49	0.51	""	0.05	0.95	"Glut"	"Glut"
302	330	"0330 L2/3 IT PPP Glut_1"	84	"L2/3 IT PPP Glut_1"	"0084 L2/3 IT PPP Glut_1"	19	"L2/3 IT PPP Glut"	"019 L2/3 IT PPP Glut"	"IT-ET Glut"	1	"01 IT-ET Glut"	"ENTm"	NA	"RHP:0.86"	"ENTm2:0.3,PAR:0.23,ENTm1:0.19,NA:0.11"	329	698	0	"Cfap58,Slc17a7,Osbpl3"	"Rspo2,Qrfpr,Gpr139,Gpr88,Egr2"	0.49	0.51	""	0.12	0.88	"Glut"	"Glut"
306	331	"0331 L2/3 IT PPP Glut_1"	84	"L2/3 IT PPP Glut_1"	"0084 L2/3 IT PPP Glut_1"	19	"L2/3 IT PPP Glut"	"019 L2/3 IT PPP Glut"	"IT-ET Glut"	1	"01 IT-ET Glut"	"ENTm-PAR"	NA	"RHP:1"	"PAR:0.35,ENTm2:0.22,ENTm5:0.19,ENTm3:0.16"	185	546	0	"Cfap58,Slc17a7,4930555F03Rik"	"Rspo2,Qrfpr,Gpr139,Gpr88,Tacr3"	0.45	0.55	""	0.08	0.92	"Glut"	"Glut"
307	332	"0332 L2/3 IT PPP Glut_1"	84	"L2/3 IT PPP Glut_1"	"0084 L2/3 IT PPP Glut_1"	19	"L2/3 IT PPP Glut"	"019 L2/3 IT PPP Glut"	"IT-ET Glut"	1	"01 IT-ET Glut"	"ENTm-PAR-HATA"	NA	"RHP:1"	"HATA:0.31,ENTm5:0.18,ENTm6:0.15,ENTm3:0.12,SUB:0.11"	8	74	0	""	""	0.6	0.4	""	0	1	"Glut"	"Glut"
310	333	"0333 L2/3 IT PPP Glut_2"	85	"L2/3 IT PPP Glut_2"	"0085 L2/3 IT PPP Glut_2"	19	"L2/3 IT PPP Glut"	"019 L2/3 IT PPP Glut"	"IT-ET Glut"	1	"01 IT-ET Glut"	"PPP"	NA	"HIP:0.47,RHP:0.47"	"DG-mo:0.47,PRE:0.42"	973	2482	0	"Gm49906,Tecta,Ctxn3"	"Rxfp1,Lgr6,Tacr3,Col23a1"	0.39	0.61	""	0.08	0.92	"Glut"	"Glut"
311	334	"0334 L2/3 IT PPP Glut_2"	85	"L2/3 IT PPP Glut_2"	"0085 L2/3 IT PPP Glut_2"	19	"L2/3 IT PPP Glut"	"019 L2/3 IT PPP Glut"	"IT-ET Glut"	1	"01 IT-ET Glut"	"PPP"	NA	"RHP:0.97"	"POST:0.51,PRE:0.46"	1121	1875	0	"Gm49906,Ctxn3,Neurod6,Nell1,Sv2c"	"Ctxn3,Slc17a7,Tacr3,Tafa1,Sv2c"	0.42	0.58	""	0.08	0.92	"Glut"	"Glut"
312	335	"0335 L2/3 IT PPP Glut_2"	85	"L2/3 IT PPP Glut_2"	"0085 L2/3 IT PPP Glut_2"	19	"L2/3 IT PPP Glut"	"019 L2/3 IT PPP Glut"	"IT-ET Glut"	1	"01 IT-ET Glut"	"PPP"	NA	"RHP:0.91"	"POST:0.55,PRE:0.29"	3868	6751	0	"Ddit4l,Gm49906,Atp10b,Sv2c"	"Igfbp6,Dsg2,Rmst,Pou3f1,Cnih3,Igfbp4"	0.42	0.58	""	0.09	0.91	"Glut"	"Glut"
313	336	"0336 L2/3 IT PPP Glut_2"	85	"L2/3 IT PPP Glut_2"	"0085 L2/3 IT PPP Glut_2"	19	"L2/3 IT PPP Glut"	"019 L2/3 IT PPP Glut"	"IT-ET Glut"	1	"01 IT-ET Glut"	"PPP"	NA	"RHP:0.76,HIP:0.24"	"PRE:0.5,DG-mo:0.24,SUB:0.23"	685	2848	0	"Atp10b,Rspo2,Fbxl7"	"Rxfp1,Npsr1,Ccbe1,Rprm,Tacr1"	0.4	0.6	""	0.06	0.94	"Glut"	"Glut"
300	337	"0337 L2/3 IT PPP Glut_3"	86	"L2/3 IT PPP Glut_3"	"0086 L2/3 IT PPP Glut_3"	19	"L2/3 IT PPP Glut"	"019 L2/3 IT PPP Glut"	"IT-ET Glut"	1	"01 IT-ET Glut"	"PAR"	NA	"RHP:0.92"	"PAR:0.54,SUB:0.17,PRE:0.11"	163	933	0	"Gm34466,Hmcn1,Dcn,C1ql2"	"Dcn,Hmcn1,Drd1,Gpr88"	0.53	0.47	""	0.03	0.97	"Glut"	"Glut"
303	338	"0338 L2/3 IT PPP Glut_3"	86	"L2/3 IT PPP Glut_3"	"0086 L2/3 IT PPP Glut_3"	19	"L2/3 IT PPP Glut"	"019 L2/3 IT PPP Glut"	"IT-ET Glut"	1	"01 IT-ET Glut"	"PAR"	NA	"RHP:0.67,NA:0.26"	"PAR:0.55,NA:0.26"	423	844	0	"Casp1,Neurod6,Ednra,Gm30382"	"Cd34,Prlr,Adamts19,Megf11"	0.52	0.48	""	0.09	0.91	"Glut"	"Glut"
304	339	"0339 L2/3 IT PPP Glut_3"	86	"L2/3 IT PPP Glut_3"	"0086 L2/3 IT PPP Glut_3"	19	"L2/3 IT PPP Glut"	"019 L2/3 IT PPP Glut"	"IT-ET Glut"	1	"01 IT-ET Glut"	"PAR"	NA	"RHP:0.89"	"PAR:0.5,PRE:0.29,NA:0.11"	625	786	0	"Ddit4l,Casp1,Grm8,Cdc14a,Lbh,Tenm2"	"Cd34,Syt2,Rmst,Kcns3,Cbln1,Ctxn3"	0.46	0.54	""	0.14	0.86	"Glut"	"Glut"
305	340	"0340 L2/3 IT PPP Glut_3"	86	"L2/3 IT PPP Glut_3"	"0086 L2/3 IT PPP Glut_3"	19	"L2/3 IT PPP Glut"	"019 L2/3 IT PPP Glut"	"IT-ET Glut"	1	"01 IT-ET Glut"	"PRE"	NA	"RHP:1"	"PRE:0.86"	156	1118	0	"Ntn5,Tmem255b,Trhr"	"Igfbp6,Vit,Grp,Trhr,Slc17a6"	0.52	0.48	""	0.02	0.98	"Glut"	"Glut"
309	341	"0341 L2/3 IT PPP Glut_3"	86	"L2/3 IT PPP Glut_3"	"0086 L2/3 IT PPP Glut_3"	19	"L2/3 IT PPP Glut"	"019 L2/3 IT PPP Glut"	"IT-ET Glut"	1	"01 IT-ET Glut"	"APr-POST"	NA	"RHP:0.8,NA:0.13"	"APr:0.47,PRE:0.17,NA:0.13,PAR:0.12"	127	334	0	"Ntn5,Itga1,Gm49906"	"Ctxn3,Cd34,Arhgap36,Fxyd6,Rmst"	0.46	0.54	""	0.11	0.89	"Glut"	"Glut"
299	342	"0342 L2/3 IT RSP Glut_1"	87	"L2/3 IT RSP Glut_1"	"0087 L2/3 IT RSP Glut_1"	20	"L2/3 IT RSP Glut"	"020 L2/3 IT RSP Glut"	"IT-ET Glut"	1	"01 IT-ET Glut"	"RSP"	NA	"Isocortex:0.96"	"RSPd1:0.4,RSPd2/3:0.31,RSPv2/3:0.13"	1454	6470	0	"Ddit4l,Cpa6,Satb2,Glra3"	"Igfbp6,Npnt,Cpa6,Pde3a,Tshz2"	0.29	0.71	""	0.07	0.93	"Glut"	"Glut"
314	343	"0343 L2/3 IT RSP Glut_2"	88	"L2/3 IT RSP Glut_2"	"0088 L2/3 IT RSP Glut_2"	20	"L2/3 IT RSP Glut"	"020 L2/3 IT RSP Glut"	"IT-ET Glut"	1	"01 IT-ET Glut"	"RSP"	NA	"Isocortex:0.98"	"RSPv2/3:0.52,RSPv1:0.42"	6418	13446	0	"Trabd2b,Cxcl14,Pappa,Dpp10,Egfem1"	"Igfbp6,Cxcl14,Fam163a,Sv2c,Nptx2,Tshz2"	0.37	0.63	""	0.15	0.85	"Glut"	"Glut"
315	344	"0344 L2/3 IT RSP Glut_2"	88	"L2/3 IT RSP Glut_2"	"0088 L2/3 IT RSP Glut_2"	20	"L2/3 IT RSP Glut"	"020 L2/3 IT RSP Glut"	"IT-ET Glut"	1	"01 IT-ET Glut"	"RSP"	NA	"Isocortex:0.97"	"RSPv1:0.67,RSPv2/3:0.26"	178	2222	0	"Itprid1,Cxcl14,Cpm,Chst9"	"Ctxn3,Slc17a7,Npsr1,Chst9,Grm8"	0.27	0.73	""	0.04	0.96	"Glut"	"Glut"
316	345	"0345 L2/3 IT RSP Glut_2"	88	"L2/3 IT RSP Glut_2"	"0088 L2/3 IT RSP Glut_2"	20	"L2/3 IT RSP Glut"	"020 L2/3 IT RSP Glut"	"IT-ET Glut"	1	"01 IT-ET Glut"	"RSP"	NA	"Isocortex:0.99"	"RSPv2/3:0.6,RSPv1:0.22"	72	2797	0	"Stat4,Trabd2b,B530045E10Rik"	"Igfbp6,Pappa,Pou3f1,Rspo1,Grik3"	0.4	0.6	""	0.01	0.99	"Glut"	"Glut"
317	346	"0346 L2/3 IT RSP Glut_2"	88	"L2/3 IT RSP Glut_2"	"0088 L2/3 IT RSP Glut_2"	20	"L2/3 IT RSP Glut"	"020 L2/3 IT RSP Glut"	"IT-ET Glut"	1	"01 IT-ET Glut"	"RSP"	NA	"Isocortex:0.9"	"RSPv2/3:0.47,RSPv1:0.38"	320	563	0	"Col5a2,Satb2,Stat4,Gm32647"	"Smoc2,Ctxn3,Trhde,Cbln1"	0.38	0.62	""	0.16	0.84	"Glut"	"Glut"
412	347	"0347 L4 RSP-ACA Glut_1"	89	"L4 RSP-ACA Glut_1"	"0089 L4 RSP-ACA Glut_1"	21	"L4 RSP-ACA Glut"	"021 L4 RSP-ACA Glut"	"IT-ET Glut"	1	"01 IT-ET Glut"	"RSP po"	NA	"Isocortex:0.97"	"RSPv2/3:0.69,RSPv1:0.15"	227	1375	0	"1700047F07Rik,Teddm3,Chrm3,Fxyd6"	"Col5a1,Rspo1,Cbln1,Met,Fxyd6"	0.23	0.77	""	0.07	0.93	"Glut"	"Glut"
413	348	"0348 L4 RSP-ACA Glut_1"	89	"L4 RSP-ACA Glut_1"	"0089 L4 RSP-ACA Glut_1"	21	"L4 RSP-ACA Glut"	"021 L4 RSP-ACA Glut"	"IT-ET Glut"	1	"01 IT-ET Glut"	"RSP-ACA"	NA	"Isocortex:1"	"RSPv2/3:0.75,RSPv5:0.14"	1336	3677	0	"Scnn1a,Cbln1,Gm9732"	"Car4,Rspo1,Cbln1,Pvalb"	0.34	0.66	""	0.11	0.89	"Glut"	"Glut"
378	349	"0349 L5 ET CTX Glut_1"	90	"L5 ET CTX Glut_1"	"0090 L5 ET CTX Glut_1"	22	"L5 ET CTX Glut"	"022 L5 ET CTX Glut"	"IT-ET Glut"	1	"01 IT-ET Glut"	NA	NA	"Isocortex:1"	"AId5:0.29,ORBm5:0.18,PL5:0.15,ILA5:0.05,ORBm2/3:0.05,ORBvl5:0.05,ACAd5:0.04"	13	47	0	"Otx1,Gm19410,Stac,Atp10a"	"Egln3,Crym,Npnt,Stac,Samd5,Slc17a7"	0.27	0.73	""	0.1	0.9	"Glut"	"Glut"
381	350	"0350 L5 ET CTX Glut_1"	90	"L5 ET CTX Glut_1"	"0090 L5 ET CTX Glut_1"	22	"L5 ET CTX Glut"	"022 L5 ET CTX Glut"	"IT-ET Glut"	1	"01 IT-ET Glut"	NA	NA	"Isocortex:1"	"PL5:0.26,ORBm5:0.25,ORBvl5:0.11,ACAv5:0.09,PL2/3:0.05,ILA5:0.04,AId5:0.03"	269	495	0	"Gm6260,Cxcl12,Tafa1,Stard8,Sh3bp4,Sowahb,Gm30382,Sertm1"	"Ccn3,Egln3,Grp,Cbln2,Serpinb8,Htr2a,Stac,Tafa1,St6galnac5"	0.33	0.67	""	0.16	0.84	"Glut"	"Glut"
386	351	"0351 L5 ET CTX Glut_1"	90	"L5 ET CTX Glut_1"	"0090 L5 ET CTX Glut_1"	22	"L5 ET CTX Glut"	"022 L5 ET CTX Glut"	"IT-ET Glut"	1	"01 IT-ET Glut"	NA	NA	"Isocortex:1"	"ORBvl5:0.16,ORBl5:0.15,MOs5:0.11,AId5:0.09,MOs2/3:0.08,MOp5:0.07,ORBm5:0.04,MOp2/3:0.03,AIv5:0.03,FRP5:0.03,SSs5:0.02"	241	408	0	"Gm11730,Pcp4,Npsr1,Stxbp6,Flt3"	"Ccn3,Npsr1,Pou3f1,Rorb,Sv2c,Crym,Cbln2,Sema3e"	0.24	0.76	""	0.14	0.86	"Glut"	"Glut"
387	352	"0352 L5 ET CTX Glut_1"	90	"L5 ET CTX Glut_1"	"0090 L5 ET CTX Glut_1"	22	"L5 ET CTX Glut"	"022 L5 ET CTX Glut"	"IT-ET Glut"	1	"01 IT-ET Glut"	NA	NA	"Isocortex:1"	"ACAd5:0.2,MOs2/3:0.17,ACAv5:0.14,RSPagl5:0.08,MOs5:0.07,VISam5:0.06,RSPagl2/3:0.05,RSPd5:0.05"	344	355	0	"Gm11730,Grin2a,Pdyn,Gm20713,Nrgn"	"Ccn3,Rbp4,Pdyn,Gda,Sv2c,Npnt,Rspo2,Adra1b"	0.34	0.66	""	0.22	0.78	"Glut"	"Glut"
